device,subsystem,manufacturer,MPN,description,quantity,preferred_or_alternate,approved_alternative,reason,datasheet_url,package,voltage,current,interfaces,availability_risk,why_selected,export_license_concern
Edge I/O Ring,MCU,Nordic Semiconductor,nRF52840-QIAA-R,Bluetooth 5.3 SoC Cortex-M4F 1MB/256KB,1,preferred,nRF52833-QIAA-R,BLE + USB + sufficient flash for DFU+protocol,https://www.nordicsemi.com/Products/nRF52840,aQFN-73,1.7-3.6V,~5.4mA TX,SPI/I2C/UART/USB/BLE,medium-leadtime,Best feature set for authenticated ring + DFU,none
Edge I/O Ring,IMU,Bosch Sensortec,BMI270,6-axis IMU with gesture features,1,preferred,ICM-42670-P,Low-power IMU with wrist/gesture friendly config,https://www.bosch-sensortec.com/products/motion-sensors/imus/bmi270/,LGA-14,1.71-3.6V,685uA,I2C/SPI,low,Proven wearable IMU; interrupt pins for wake,none
Edge I/O Ring,PMIC,Nordic Semiconductor,npm1300-CAAA-R,PMIC charger+regulators+fuel gauge for nRF,1,preferred,MAX77654,Integrated charging + LDOs for coin/LiPo wearables,https://www.nordicsemi.com/Products/nPM1300,WLCSP,3.0-5.5 VIN,charge to 800mA cfg,I2C,medium,Native Nordic PMIC ecosystem with nRF52840,none
Edge I/O Ring,Battery,Jauch / generic LiPo,LP502030-3.7V-250mAh,LiPo 3.7V 250mAh candidate cell,1,preferred,LP402025-200mAh,Size fit for ring band cavity; LIVE quote required,REQUIRES_SUPPLIER_DATASHEET_AT_PURCHASE,pouch,3.0-4.2V,0.5C nom,2-wire + NTC,high-quote,Candidate only; purchase-time selection,UN38.3 transport
Edge I/O Ring,Charger contact,Mill-Max,319-10-102-00-001000,Pogo/spring contact pair for dock charge,2,preferred,CUI PJ-002AH,Charging/debug access on ring ID surface,https://www.mill-max.com/,thru-hole/SMT,5V,1A,power,low,Reliable pogo for dock cradle,none
Edge I/O Ring,LDO aux,Texas Instruments,TLV75533PDBVR,3.3V 500mA LDO backup rail,1,preferred,NCP167BMX330TBG,Always-on rail if PMIC rail partitioned,https://www.ti.com/product/TLV75533,SOT-23-5,2.57-5.5V,500mA,power,low,Simple rail for debug/sensors,none
Edge I/O Ring,ESD USB/CHG,Nexperia,PESD5V0S1UL,ESD protection for charge contacts,2,preferred,PESD3V3S1UL,IEC 61000-4-2 on exposed contacts,https://www.nexperia.com/,SOD882,5V,—,ESD,low,Protect user-touchable charge pads,none
Edge I/O Ring,ESD RF,Nexperia,PESD5V0X1UB,ESD for antenna feed if needed,1,preferred,—,RF path protection where applicable,https://www.nexperia.com/,SOD523,5V,—,ESD,low,Antenna keepout companion,none
Edge I/O Ring,Antenna,Johanson Technology,2450AT18A100,2.4GHz chip antenna,1,preferred,PCB inverted-F,2.4 GHz BLE; keepout per datasheet,https://www.johansontechnology.com/,chip,—,—,RF,medium,Compact for ring circumference,none
Edge I/O Ring,Flash (opt),Winbond,W25Q16JVSSIQ,16Mbit SPI flash optional logging,1,alternate,—,Optional factory log / larger DFU staging,https://www.winbond.com/,SOIC-8,2.7-3.6V,—,SPI,low,Optional; MCU internal flash primary,none
Edge I/O Ring,Haptic,Jinlong Machinery,C1026B002F,Coin vibration motor 10mm,1,preferred,Vybronem VLV101040A,Haptic confirmation for pairing/calibration,https://www.jinlong.com/,coin,3.0V,~80mA,GPIO+driver,medium,User feedback without display,none
Edge I/O Ring,Haptic driver,Texas Instruments,DRV2605LDGSR,Haptic driver with library,1,preferred,GPIO+MOSFET,Closed-loop haptic effects,https://www.ti.com/product/DRV2605L,VSSOP-10,2.5-5.5V,—,I2C,low,Better UX than bang-bang GPIO,none
Edge I/O Ring,Status LED,Kingbright,APTD1608LCGCK,Green 0603 LED,1,preferred,APA1606CGCK,Pairing/battery status,https://www.kingbrightusa.com/,0603,2.1Vf,2mA,GPIO,low,Low-current indicator,none
Edge I/O Ring,Debug,Tag-Connect,TC2030-IDC-NL,SWD 6-pin no-legs footprint,1,preferred,2x3 1.27mm hdr,SWD programming/debug without tall header,https://www.tag-connect.com/,TC2030,3.3V,—,SWD,low,Fits thin ring PCB,none
Edge I/O Ring,NTC,Murata,NCP15XH103F03RC,10k NTC for battery temp,1,preferred,NCP18XH103F03RB,Charge safety temperature sense,https://www.murata.com/,0402,—,—,analog,low,Required for safe LiPo charge,none
Edge I/O Ring,Decoupling,Samsung Electro-Mechanics,CL05A104KA5NNNC,100nF 0402 X5R,12,preferred,GRM155R61A104KA01D,Local decoupling MCU/IMU/PMIC,https://www.samsungsem.com/,0402,6.3V,—,power,low,Standard decoupling,none
Edge I/O Ring,Bulk cap,Murata,GRM188R60J106ME47D,10uF 0603,4,preferred,CL10A106MQ8NNNC,Bulk on VBAT/3V3,https://www.murata.com/,0603,6.3V,—,power,low,Rail stability,none
Edge I/O Ring,Series R,Yageo,RC0402FR-0710KL,10k 0402 1%,8,preferred,ERJ-2RKF1002X,Pull-ups I2C/config,https://www.yageo.com/,0402,—,—,passives,low,I2C and config straps,none
Edge I/O Ring,Capacitive,Azoteq,IQS7222A,Capacitive touch/proximity controller,1,preferred,IQS550,ADR-FP-008 contact modality,https://www.azoteq.com/,QFN,1.8-3.6V,~150uA,I2C,medium,Required footprint for spatial multi-modal,none
Edge I/O Ring,UWB,Qorvo,DWM3001C,UWB module DW3000-class,1,preferred,DW3000+balun,Spatial ranging assist; DNP→UWB_ON_COMPANION,https://www.qorvo.com/,module,2.5-3.6V,burst,SPI,medium,Footprint for ADR-FP-008,none
Edge I/O Ring,SensorHub,Bosch Sensortec,BHI360,IMU+fusion coprocessor optional,1,alternate,BHI260AP,Optional offload when standalone spatial demos required,https://www.bosch-sensortec.com/,LGA,1.8V,sub-mA,SPI/I2C,medium,Coprocessor footprint ADR-FP-008,none
Edge I/O Ring,Magnetometer,Bosch Sensortec,BMM350,3-axis mag optional,1,preferred,BMM150,Heading assist DNP OK,https://www.bosch-sensortec.com/,WLCSP,1.72-3.6V,~200uA,I2C/SPI,low,Optional modality,none
Edge I/O Ring,SecureElement,NXP,SE050C1HQ1,Secure element,1,preferred,ATECC608B,Identity/attestation,https://www.nxp.com/,HXQFN,1.62-3.6V,burst,I2C,medium,Auth path,none
