item_id,category,manufacturer,mpn,distributor_vendor,vendor_url,qty,purpose,required_or_optional,substitutes_allowed,substitute_qualification_rule,price,stock,lead_time,physical_purchase_status
RP0A-CPU-001,compute,ADLINK,COM-HPC-mMTL-155H-32G,ADLINK / authorized distributor,https://www.adlinktech.com/products/computer_on_modules/com-hpc_mini_module/com-hpc-mmtl,1,COM-HPC Mini Meteor Lake module for RP0-A,required,yes,Same COM-HPC-mMTL family; memory/SKU delta documented; eDP+DDI retained,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CPU-002,compute,ADLINK,COM-HPC Mini Base,ADLINK / authorized distributor,https://www.adlinktech.com/en/com-hpc-mini,1,COTS reference carrier (no custom PCB),required,no,Must be official ADLINK COM-HPC Mini Base or owner-approved equivalent with documented I/O,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CPU-003,compute,ADLINK,mMTL heatspreader/fan kit (VERIFY exact released SKU),ADLINK,https://www.adlinktech.com/products/computer_on_modules/com-hpc_mini_module/com-hpc-mmtl,1,Thermal solution for module,required,yes,Must meet ADLINK thermal guidance for selected SKU,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CPU-004,compute,Generic / ADLINK-specified,ATX/module PSU per Mini Base requirements,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Compatible power supply,required,yes,Meets carrier voltage/current; safety certified,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-STO-001,storage,VERIFY_AT_PURCHASE,M.2 NVMe 2280 reference SSD,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,NVMe boot/storage bring-up,required,yes,PCIe NVMe; capacity >=256GB preferred,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-WIFI-001,wifi,Intel,BE200 class M.2 Key E,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Wi-Fi 7 / BT mainline class,required,yes,Intel BE200-class or documented Key E alternate,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-WIFI-002,wifi,VERIFY_AT_PURCHASE,M.2 Wi-Fi antenna cable kit (bench),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Bench RF antennas for Wi-Fi/BT,required,yes,Development use only; not production antenna design,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CELL-001,cellular_optional,Telit Cinterion,FN990B40W01T010300,Rutronik (live); DigiKey/Mouser VERIFY_AT_PURCHASE,https://www.rutronik24.com/product/telit/fn990b40w01t010300/24844173.html,1,Optional 5G Sub-6 M.2 module,optional,yes,Quectel RM520N-GL approved alternate; document delta,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CELL-002,cellular_optional,Telit Cinterion,FN990 EVB/test board (VERIFY public PN),Telit / authorized,https://www.telit.com/devices/fn990b40/,1,Module evaluation if M.2 slot path insufficient,optional,yes,Official Telit FN990 evaluation path,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-CELL-003,cellular_optional,VERIFY_AT_PURCHASE,Development cellular antenna kit,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Development antennas only,optional,yes,PRODUCT_CELLULAR_ANTENNA_DESIGN_PENDING=true — not production validation,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
