warning_id,sku,check_type,code_id,message,class,rationale,action,sheet,source,severity
W0001,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol JUSB1 [USB_C],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0002,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol C2 [C],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0003,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol UUSB4 [JHL8440_ROLE],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0004,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol UPD1 [PD_CTRL],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0005,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol R1 [R],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0006,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol URET1 [JHL9040R_ROLE],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0007,dock,ERC,isolated_pin_label,Label connected to only one pin :: Global Label 'USB4_DN',BLOCKED_NDA_INFORMATION,Global label is attached to a single stub pin. The missing far end is pin-accurate module/controller fanout: EXT-JHL8440-BALLMAP / EXT-JHL9040R-BALLMAP (Intel RDC NDA ball maps). Public in-tree files do not contain that map.,RETAIN warning. Do not invent NDA nets. Owner intakes NDA CSV/PDF then fans out.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0008,dock,ERC,isolated_pin_label,Label connected to only one pin :: Global Label 'VBAT',BLOCKED_NDA_INFORMATION,Global label is attached to a single stub pin. The missing far end is pin-accurate module/controller fanout: EXT-JHL8440-BALLMAP / EXT-JHL9040R-BALLMAP (Intel RDC NDA ball maps). Public in-tree files do not contain that map.,RETAIN warning. Do not invent NDA nets. Owner intakes NDA CSV/PDF then fans out.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0009,dock,ERC,isolated_pin_label,Label connected to only one pin :: Global Label 'ETH_TD_P',BLOCKED_NDA_INFORMATION,Global label is attached to a single stub pin. The missing far end is pin-accurate module/controller fanout: EXT-JHL8440-BALLMAP / EXT-JHL9040R-BALLMAP (Intel RDC NDA ball maps). Public in-tree files do not contain that map.,RETAIN warning. Do not invent NDA nets. Owner intakes NDA CSV/PDF then fans out.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0010,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol UCHG1 [CHARGER],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0011,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol R2 [R],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0012,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol UETH1 [RTL8156],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0013,dock,ERC,isolated_pin_label,Label connected to only one pin :: Global Label 'ETH_TD_N',BLOCKED_NDA_INFORMATION,Global label is attached to a single stub pin. The missing far end is pin-accurate module/controller fanout: EXT-JHL8440-BALLMAP / EXT-JHL9040R-BALLMAP (Intel RDC NDA ball maps). Public in-tree files do not contain that map.,RETAIN warning. Do not invent NDA nets. Owner intakes NDA CSV/PDF then fans out.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0014,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol U3V3 [BUCK],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0015,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol D1 [LED],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0016,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol UHUB1 [VL817],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0017,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol C1 [C],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
W0018,dock,ERC,lib_symbol_issues,The current configuration does not include the symbol library '' :: Symbol DESD1 [ESD],ACCEPTED_BY_DESIGN,KiCad parses embedded lib_id 'USB_C' as library ''. Prefixing to gunnchos: plus an extracted .kicad_sym made kicad-cli 10.0.5 fail schematic load. Embedded lib_symbols remain the in-tree source. Warning retained rather than breaking ERC.,RETAIN. Do not invent a pin-accurate symbol library. Do not add ERC ignore keys.,/,artifacts/supervisor_ready_eda/kicad/dock/erc.json,warning
